name,compound,areal_density,mu_E,sig_E
Ti01,Ti,4.519,49.97440666666667,0.5310828384432027
Pd01,Pd,29.900000000000002,48.567462000000006,0.9796228246401776
Cu01,Cu,8.949,46.94733000000001,0.6280041436434423
Ti02,Ti,4.519,46.27482333333334,0.561611492750005
Pd02,Pd,29.900000000000002,44.78732166666667,1.0105458557287519
Cu02,Cu,8.949,43.06966666666668,0.6679824515326398
Ti03,Ti,4.519,42.35173666666667,0.5979788045203237
Pd03,Pd,29.900000000000002,40.766691428571434,1.0593990057363194
Cu03,Cu,8.949,38.92905666666667,0.7181047115768627
Ti03,Ti,4.519,38.153983333333336,0.6438957988077132
Pd03,Pd,29.900000000000002,36.44619375,1.1287202432228005
Cu03,Cu,8.949,34.455709999999996,0.761235112104007
Ti04,Ti,4.519,33.605560000000004,0.7037691996670499
Pd04,Pd,29.900000000000002,31.736253,1.2166961494107722
Cu04,Cu,8.949,29.54003,0.8470950944846748
Ti05,Ti,4.519,28.58608,0.7868296513646817
Pd05,Pd,29.900000000000002,26.48954230769231,1.3483477147043788
Cu05,Cu,8.949,23.99504333333333,0.9528099310927068
