name,compound,areal_density,mu_E,sig_E
Ti01,Ti,4.519,49.97118333333334,0.5329348925734008
Mo01,Mo,25.525000000000006,48.629924,0.9409944496244386
Cu01,Cu,8.949,47.07691333333334,0.6292055884119983
Ti02,Ti,4.519,46.40566333333334,0.5630174005501271
Mo02,Mo,25.525000000000006,44.987745,0.9717759420986233
Cu02,Cu,8.949,43.34154666666667,0.6684882505740513
Ti03,Ti,4.519,42.62685333333334,0.5992107852463567
Mo03,Mo,25.525000000000006,41.114975,1.0372328970430573
Cu03,Cu,8.949,39.3546,0.7173178096213702
Ti04,Ti,4.519,38.58591666666667,0.6441358498450123
Mo04,Mo,25.525000000000006,36.95646142857144,1.1010287883602135
Cu04,Cu,8.949,35.05035666666666,0.7801791713802385
Ti05,Ti,4.519,34.211600000000004,0.7028267496332222
Mo05,Mo,25.525000000000006,32.42799111111111,1.182305209668754
Cu05,Cu,8.949,30.32721,0.8424307781058334
Ti06,Ti,4.519,29.39203666666667,0.7834717089056602
Mo06,Mo,25.525000000000006,27.39238333333333,1.3067039270835439
Cu06,Cu,8.949,25.010711666666666,0.9434344670037
Ti07,Ti,4.519,23.931035,0.8963366157727799
Mo07,Mo,25.525000000000006,21.593636875,1.5188699781878088
Cu07,Cu,8.949,18.749695555555558,1.1355032739236637
