name,compound,areal_density,mu_E,sig_E
Ti01,Ti,4.519,34.699151666666666,0.431693062638902
Ni01,Ni,22.2375,32.94045611111112,1.019664857122939
Cu01,Cu,8.949,30.869195000000005,0.5840765677332042
Ti02,Ti,4.519,29.946310333333336,0.4809043491449787
Ni02,Ni,22.2375,27.974749090909096,1.12761209350036
Cu02,Cu,8.949,25.628967000000003,0.6368362240359239
Ti03,Ti,4.519,24.569027000000002,0.539655087320596
Ni03,Ni,22.2375,22.267291375000003,1.2947208215868817
Cu03,Cu,8.949,19.473991250000005,0.7553658450866292
Ti04,Ti,4.519,18.17593166666667,0.6521709274905537
Ni04,Ni,22.2375,15.245819884615385,1.6479503956840968
Cu04,Cu,8.949,11.487570111111111,1.0398827802935766
Ti05,Ti,4.519,9.5696825,0.9831433106082501
Ni05,Ni,22.2375,4.278446353658537,3.0806236036164263
Cu05,Cu,8.949,0.04594994059405941,0.1260217464692693
