name,compound,areal_density,mu_E,sig_E
Ti01,Ti,4.519,39.729562666666666,0.46232002848628106
Ni01,Ni,22.2375,38.145618285714285,0.9757533063564953
Cu01,Cu,8.949,36.29360533333333,0.6080470718386494
Ti02,Ti,4.519,35.47627466666666,0.5027756443566278
Ni02,Ni,22.2375,33.747295,1.051906926954567
Cu02,Cu,8.949,31.713962000000002,0.6431568568832958
Ti03,Ti,4.519,30.809530666666667,0.5575784247316444
Ni03,Ni,22.2375,28.881000000000004,1.1457948745501765
Cu03,Cu,8.949,26.5911872,0.7133577381343528
Ti04,Ti,4.519,25.559722666666666,0.6383461363186035
Ni04,Ni,22.2375,23.328306666666666,1.3093037953898332
Cu04,Cu,8.949,20.632569,0.8273941625603844
Ti05,Ti,4.519,19.388081600000003,0.7536301690759468
Ni05,Ni,22.2375,16.607438666666667,1.6271176723186174
Cu05,Cu,8.949,13.095612800000001,1.1023765626180073
