compound,thickness,areal_density,name
SS_316,0.051,,SS1
Kapton,0.025,,
Silicone,0.063,,
Ta,0.0127,,Ta01
Silicone,0.063,,
Kapton,0.025,,
Kapton,0.025,,
Silicone,0.063,,
Cu,0.025,,Cu01
Silicone,0.063,,
Kapton,0.025,,
Al,1.6,,D1
Kapton,0.025,,
Silicone,0.063,,
Ta,0.0127,,Ta02
Silicone,0.063,,
Kapton,0.025,,
Kapton,0.025,,
Silicone,0.063,,
Cu,0.025,,Cu02
Silicone,0.063,,
Kapton,0.025,,
Al,1.6,,D2
Kapton,0.025,,
Silicone,0.063,,
Ta,0.0127,,Ta03
Silicone,0.063,,
Kapton,0.025,,
Kapton,0.025,,
Silicone,0.063,,
Cu,0.025,,Cu03
Silicone,0.063,,
Kapton,0.025,,
Al,1.6,,D3
Kapton,0.025,,
Silicone,0.063,,
Ta,0.0127,,Ta04
Silicone,0.063,,
Kapton,0.025,,
Kapton,0.025,,
Silicone,0.063,,
Cu,0.025,,Cu04
Silicone,0.063,,
Kapton,0.025,,
Al,1.6,,D4
Kapton,0.025,,
Silicone,0.063,,
Ta,0.0127,,Ta05
Silicone,0.063,,
Kapton,0.025,,
Kapton,0.025,,
Silicone,0.063,,
Cu,0.025,,Cu05
Silicone,0.063,,
Kapton,0.025,,
Al,1.6,,D5
Kapton,0.025,,
Silicone,0.063,,
Ta,0.0127,,Ta06
Silicone,0.063,,
Kapton,0.025,,
Kapton,0.025,,
Silicone,0.063,,
Cu,0.025,,Cu06
Silicone,0.063,,
Kapton,0.025,,
Al,1.6,,D6
Kapton,0.025,,
Silicone,0.063,,
Ta,0.0127,,Ta07
Silicone,0.063,,
Kapton,0.025,,
Kapton,0.025,,
Silicone,0.063,,
Cu,0.025,,Cu07
Silicone,0.063,,
Kapton,0.025,,
